site,day,date,year,day_of_year,lambda_t,mu_t,sigma2_t,observed_occupancy,admission_count
Site 1,340,2023-12-06,2023,340,1.42689,8.44195,71.26649,7,1.42689
Site 1,341,2023-12-07,2023,341,1.43312,8.45336,71.45932,8,1.43312
Site 1,342,2023-12-08,2023,342,1.4394,8.46464,71.65013,9,1.4394
Site 1,343,2023-12-09,2023,343,1.44573,8.47578,71.83887,12,1.44573
Site 1,344,2023-12-10,2023,344,1.45211,8.48678,72.02546,15,1.45211
Site 1,345,2023-12-11,2023,345,1.45853,8.49764,72.20984,17,1.45853
Site 1,346,2023-12-12,2023,346,1.46499,8.50835,72.39195,11,1.46499
Site 1,347,2023-12-13,2023,347,1.47149,8.5189,72.57172,16,1.47149
Site 1,348,2023-12-14,2023,348,1.47803,8.52931,72.74909,20,1.47803
Site 1,349,2023-12-15,2023,349,1.48461,8.53955,72.924,14,1.48461
Site 1,350,2023-12-16,2023,350,1.49122,8.54964,73.09638,13,1.49122
Site 1,351,2023-12-17,2023,351,1.49786,8.55957,73.26618,14,1.49786
Site 1,352,2023-12-18,2023,352,1.50453,8.56933,73.43334,10,1.50453
Site 1,353,2023-12-19,2023,353,1.51123,8.57892,73.59779,11,1.51123
Site 1,354,2023-12-20,2023,354,1.51796,8.58833,73.75947,14,1.51796
Site 1,355,2023-12-21,2023,355,1.52471,8.59758,73.91834,18,1.52471
Site 1,356,2023-12-22,2023,356,1.53148,8.60664,74.07433,11,1.53148
Site 1,357,2023-12-23,2023,357,1.53828,8.61553,74.22739,12,1.53828
Site 1,358,2023-12-24,2023,358,1.54509,8.62424,74.37746,18,1.54509
Site 1,359,2023-12-25,2023,359,1.55192,8.63276,74.52449,12,1.55192
Site 1,360,2023-12-26,2023,360,1.55876,8.64109,74.66842,7,1.55876
Site 1,361,2023-12-27,2023,361,1.56561,8.64923,74.8092,16,1.56561
Site 1,362,2023-12-28,2023,362,1.57248,8.65718,74.94679,18,1.57248
Site 1,363,2023-12-29,2023,363,1.57935,8.66494,75.08112,14,1.57935
Site 1,364,2023-12-30,2023,364,1.58623,8.67249,75.21216,10,1.58623
Site 1,365,2023-12-31,2023,365,1.59311,8.67985,75.33986,9,1.59311
Site 2,1,2023-01-01,2023,1,3.41601,10.43224,108.83166,31,3.41601
Site 2,2,2023-01-02,2023,2,3.42635,10.43525,108.89445,35,3.42635
Site 2,3,2023-01-03,2023,3,3.43662,10.43798,108.95147,47,3.43662
Site 2,4,2023-01-04,2023,4,3.44682,10.44044,109.0027,49,3.44682
Site 2,5,2023-01-05,2023,5,3.45695,10.44261,109.04813,34,3.45695
Site 2,6,2023-01-06,2023,6,3.467,10.44451,109.08773,32,3.467
Site 2,7,2023-01-07,2023,7,3.47698,10.44612,109.12149,34,3.47698
Site 2,8,2023-01-08,2023,8,3.48687,10.44746,109.14939,42,3.48687
Site 2,9,2023-01-09,2023,9,3.49667,10.44851,109.17144,31,3.49667
Site 2,10,2023-01-10,2023,10,3.50639,10.44929,109.18761,35,3.50639
Site 2,11,2023-01-11,2023,11,3.51602,10.44978,109.1979,42,3.51602
Site 2,12,2023-01-12,2023,12,3.52555,10.44999,109.20232,37,3.52555
Site 2,13,2023-01-13,2023,13,3.53499,10.44992,109.20085,29,3.53499
Site 2,14,2023-01-14,2023,14,3.54432,10.44957,109.19349,41,3.54432
Site 2,15,2023-01-15,2023,15,3.55356,10.44894,109.18026,34,3.55356
Site 2,16,2023-01-16,2023,16,3.56269,10.44802,109.16115,45,3.56269
Site 2,17,2023-01-17,2023,17,3.57171,10.44683,109.13617,36,3.57171
Site 2,18,2023-01-18,2023,18,3.58063,10.44535,109.10534,34,3.58063
Site 2,19,2023-01-19,2023,19,3.58943,10.44359,109.06866,34,3.58943
Site 2,20,2023-01-20,2023,20,3.59811,10.44156,109.02614,37,3.59811
Site 2,21,2023-01-21,2023,21,3.60668,10.43924,108.97781,27,3.60668
Site 2,22,2023-01-22,2023,22,3.61512,10.43665,108.92368,37,3.61512
Site 2,23,2023-01-23,2023,23,3.62345,10.43378,108.86377,38,3.62345
Site 2,24,2023-01-24,2023,24,3.63164,10.43063,108.7981,48,3.63164
Site 2,25,2023-01-25,2023,25,3.63971,10.42721,108.72671,35,3.63971
Site 2,26,2023-01-26,2023,26,3.64765,10.42351,108.64961,29,3.64765
Site 2,27,2023-01-27,2023,27,3.65546,10.41954,108.56683,39,3.65546
Site 2,28,2023-01-28,2023,28,3.66313,10.4153,108.47841,35,3.66313
Site 2,29,2023-01-29,2023,29,3.67067,10.41078,108.38438,32,3.67067
Site 2,30,2023-01-30,2023,30,3.67806,10.406,108.28477,42,3.67806
Site 2,31,2023-01-31,2023,31,3.68532,10.40094,108.17963,27,3.68532
Site 2,32,2023-02-01,2023,32,3.69243,10.39562,108.06898,34,3.69243
Site 2,33,2023-02-02,2023,33,3.69939,10.39004,107.95287,39,3.69939
Site 2,34,2023-02-03,2023,34,3.70621,10.38419,107.83135,33,3.70621
Site 2,35,2023-02-04,2023,35,3.71287,10.37808,107.70447,37,3.71287
Site 2,36,2023-02-05,2023,36,3.71938,10.3717,107.57225,38,3.71938
Site 2,37,2023-02-06,2023,37,3.72574,10.36507,107.43477,42,3.72574
Site 2,38,2023-02-07,2023,38,3.73195,10.35819,107.29206,41,3.73195
Site 2,39,2023-02-08,2023,39,3.738,10.35105,107.14418,41,3.738
Site 2,40,2023-02-09,2023,40,3.74388,10.34365,106.99119,36,3.74388
Site 2,41,2023-02-10,2023,41,3.74961,10.33601,106.83314,38,3.74961
Site 2,42,2023-02-11,2023,42,3.75517,10.32812,106.67008,44,3.75517
Site 2,43,2023-02-12,2023,43,3.76057,10.31999,106.50209,44,3.76057
Site 2,44,2023-02-13,2023,44,3.7658,10.31161,106.32922,32,3.7658
Site 2,45,2023-02-14,2023,45,3.77087,10.30299,106.15153,41,3.77087
Site 2,46,2023-02-15,2023,46,3.77576,10.29413,105.9691,41,3.77576
Site 2,47,2023-02-16,2023,47,3.78049,10.28504,105.78198,33,3.78049
Site 2,48,2023-02-17,2023,48,3.78504,10.27571,105.59024,37,3.78504
Site 2,49,2023-02-18,2023,49,3.78942,10.26616,105.39396,33,3.78942
Site 2,50,2023-02-19,2023,50,3.79363,10.25637,105.1932,47,3.79363
Site 2,51,2023-02-20,2023,51,3.79766,10.24637,104.98804,42,3.79766
Site 2,52,2023-02-21,2023,52,3.80151,10.23614,104.77856,32,3.80151
Site 2,53,2023-02-22,2023,53,3.80518,10.22569,104.56482,34,3.80518
Site 2,54,2023-02-23,2023,54,3.80868,10.21503,104.34691,42,3.80868
Site 2,55,2023-02-24,2023,55,3.81199,10.20416,104.1249,37,3.81199
Site 2,56,2023-02-25,2023,56,3.81512,10.19308,103.89887,41,3.81512
Site 2,57,2023-02-26,2023,57,3.81807,10.18179,103.66891,36,3.81807
Site 2,58,2023-02-27,2023,58,3.82084,10.1703,103.43509,31,3.82084
Site 2,59,2023-02-28,2023,59,3.82342,10.15862,103.1975,35,3.82342
Site 2,60,2023-03-01,2023,60,3.82582,10.14673,102.95623,40,3.82582
Site 2,61,2023-03-02,2023,61,3.82804,10.13466,102.71135,45,3.82804
Site 2,62,2023-03-03,2023,62,3.83006,10.1224,102.46295,44,3.83006
Site 2,63,2023-03-04,2023,63,3.8319,10.10995,102.21113,33,3.8319
Site 2,64,2023-03-05,2023,64,3.83356,10.09732,101.95597,40,3.83356
Site 2,65,2023-03-06,2023,65,3.83502,10.08452,101.69755,38,3.83502
Site 2,66,2023-03-07,2023,66,3.8363,10.07154,101.43598,40,3.8363
Site 2,67,2023-03-08,2023,67,3.83739,10.0584,101.17133,32,3.83739
Site 2,68,2023-03-09,2023,68,3.83829,10.04508,100.90371,42,3.83829
Site 2,69,2023-03-10,2023,69,3.839,10.03161,100.6332,34,3.839
Site 2,70,2023-03-11,2023,70,3.83952,10.01798,100.35989,45,3.83952
Site 2,71,2023-03-12,2023,71,3.83985,10.00419,100.08389,44,3.83985
Site 2,72,2023-03-13,2023,72,3.83999,9.99026,99.80528,42,3.83999
Site 2,73,2023-03-14,2023,73,3.83995,9.97618,99.52416,33,3.83995
Site 2,74,2023-03-15,2023,74,3.83971,9.96196,99.24063,41,3.83971
Site 2,75,2023-03-16,2023,75,3.83928,9.9476,98.95478,27,3.83928
Site 2,76,2023-03-17,2023,76,3.83867,9.93311,98.6667,37,3.83867
Site 2,77,2023-03-18,2023,77,3.83786,9.91849,98.3765,29,3.83786
Site 2,78,2023-03-19,2023,78,3.83687,9.90375,98.08427,41,3.83687
Site 2,79,2023-03-20,2023,79,3.83568,9.88889,97.79011,32,3.83568
Site 2,80,2023-03-21,2023,80,3.83431,9.87391,97.49411,43,3.83431
Site 2,81,2023-03-22,2023,81,3.83275,9.85882,97.19638,39,3.83275
Site 2,82,2023-03-23,2023,82,3.83101,9.84363,96.89701,37,3.83101
Site 2,83,2023-03-24,2023,83,3.82907,9.82833,96.5961,44,3.82907
Site 2,84,2023-03-25,2023,84,3.82695,9.81294,96.29375,51,3.82695
Site 2,85,2023-03-26,2023,85,3.82465,9.79745,95.99006,35,3.82465
Site 2,86,2023-03-27,2023,86,3.82216,9.78188,95.68512,42,3.82216
Site 2,87,2023-03-28,2023,87,3.81948,9.76622,95.37904,37,3.81948
Site 2,88,2023-03-29,2023,88,3.81662,9.75048,95.0719,33,3.81662
Site 2,89,2023-03-30,2023,89,3.81358,9.73467,94.76382,42,3.81358
Site 2,90,2023-03-31,2023,90,3.81036,9.71879,94.45489,45,3.81036
Site 2,91,2023-04-01,2023,91,3.80695,9.70284,94.1452,25,3.80695
Site 2,92,2023-04-02,2023,92,3.80337,9.68684,93.83485,52,3.80337
Site 2,93,2023-04-03,2023,93,3.7996,9.67078,93.52395,42,3.7996
Site 2,94,2023-04-04,2023,94,3.79566,9.65467,93.21259,47,3.79566
Site 2,95,2023-04-05,2023,95,3.79155,9.63851,92.90086,36,3.79155
Site 2,96,2023-04-06,2023,96,3.78725,9.62231,92.58886,35,3.78725
Site 2,97,2023-04-07,2023,97,3.78279,9.60608,92.2767,31,3.78279
Site 2,98,2023-04-08,2023,98,3.77815,9.58981,91.96445,41,3.77815
Site 2,99,2023-04-09,2023,99,3.77334,9.57352,91.65223,35,3.77334
Site 2,100,2023-04-10,2023,100,3.76836,9.5572,91.34012,34,3.76836
Site 2,101,2023-04-11,2023,101,3.76321,9.54087,91.02822,44,3.76321
Site 2,102,2023-04-12,2023,102,3.75789,9.52453,90.71662,38,3.75789
Site 2,103,2023-04-13,2023,103,3.75241,9.50818,90.40542,27,3.75241
Site 2,104,2023-04-14,2023,104,3.74677,9.49182,90.09471,39,3.74677
Site 2,105,2023-04-15,2023,105,3.74096,9.47547,89.78458,32,3.74096
Site 2,106,2023-04-16,2023,106,3.73499,9.45913,89.47512,37,3.73499
Site 2,107,2023-04-17,2023,107,3.72887,9.4428,89.16642,32,3.72887
Site 2,108,2023-04-18,2023,108,3.72258,9.42648,88.85858,29,3.72258
Site 2,109,2023-04-19,2023,109,3.71615,9.41019,88.55168,40,3.71615
Site 2,110,2023-04-20,2023,110,3.70956,9.39392,88.24581,20,3.70956
Site 2,111,2023-04-21,2023,111,3.70282,9.37769,87.94106,36,3.70282
Site 2,112,2023-04-22,2023,112,3.69593,9.36149,87.63751,34,3.69593
Site 2,113,2023-04-23,2023,113,3.68889,9.34533,87.33526,44,3.68889
Site 2,114,2023-04-24,2023,114,3.68171,9.32922,87.03438,34,3.68171
Site 2,115,2023-04-25,2023,115,3.67438,9.31316,86.73496,39,3.67438
Site 2,116,2023-04-26,2023,116,3.66692,9.29716,86.43709,30,3.66692
Site 2,117,2023-04-27,2023,117,3.65931,9.28121,86.14085,41,3.65931
Site 2,118,2023-04-28,2023,118,3.65157,9.26533,85.84632,20,3.65157
Site 2,119,2023-04-29,2023,119,3.6437,9.24952,85.55358,36,3.6437
Site 2,120,2023-04-30,2023,120,3.63569,9.23378,85.26271,42,3.63569
Site 2,121,2023-05-01,2023,121,3.62756,9.21812,84.97379,30,3.62756
Site 2,122,2023-05-02,2023,122,3.6193,9.20255,84.6869,36,3.6193
Site 2,123,2023-05-03,2023,123,3.61092,9.18706,84.40211,44,3.61092
Site 2,124,2023-05-04,2023,124,3.60241,9.17167,84.1195,27,3.60241
Site 2,125,2023-05-05,2023,125,3.59378,9.15637,83.83915,19,3.59378
Site 2,126,2023-05-06,2023,126,3.58504,9.14118,83.56112,45,3.58504
Site 2,127,2023-05-07,2023,127,3.57618,9.12609,83.2855,33,3.57618
Site 2,128,2023-05-08,2023,128,3.56721,9.11111,83.01236,21,3.56721
Site 2,129,2023-05-09,2023,129,3.55814,9.09625,82.74176,52,3.55814
Site 2,130,2023-05-10,2023,130,3.54895,9.08151,82.47377,43,3.54895
Site 2,131,2023-05-11,2023,131,3.53967,9.06689,82.20847,24,3.53967
Site 2,132,2023-05-12,2023,132,3.53028,9.0524,81.94592,34,3.53028
Site 2,133,2023-05-13,2023,133,3.52079,9.03804,81.68618,23,3.52079
Site 2,134,2023-05-14,2023,134,3.51121,9.02382,81.42933,39,3.51121
Site 2,135,2023-05-15,2023,135,3.50154,9.00974,81.17543,42,3.50154
Site 2,136,2023-05-16,2023,136,3.49178,8.99581,80.92453,25,3.49178
Site 2,137,2023-05-17,2023,137,3.48193,8.98202,80.67671,33,3.48193
Site 2,138,2023-05-18,2023,138,3.472,8.96839,80.43202,29,3.472
Site 2,139,2023-05-19,2023,139,3.46199,8.95492,80.19053,22,3.46199
Site 2,140,2023-05-20,2023,140,3.4519,8.9416,79.95228,24,3.4519
Site 2,141,2023-05-21,2023,141,3.44173,8.92846,79.71735,32,3.44173
Site 2,142,2023-05-22,2023,142,3.4315,8.91548,79.48578,25,3.4315
Site 2,143,2023-05-23,2023,143,3.42119,8.90268,79.25763,20,3.42119
Site 2,144,2023-05-24,2023,144,3.41082,8.89005,79.03295,17,3.41082
Site 2,145,2023-05-25,2023,145,3.40039,8.8776,78.81181,30,3.40039
Site 2,146,2023-05-26,2023,146,3.3899,8.86534,78.59424,14,3.3899
Site 2,147,2023-05-27,2023,147,3.37935,8.85327,78.38031,24,3.37935
Site 2,148,2023-05-28,2023,148,3.36875,8.84138,78.17005,36,3.36875
Site 2,149,2023-05-29,2023,149,3.35809,8.8297,77.96352,21,3.35809
Site 2,150,2023-05-30,2023,150,3.3474,8.81821,77.76077,29,3.3474
Site 2,151,2023-05-31,2023,151,3.33665,8.80692,77.56185,22,3.33665
Site 2,152,2023-06-01,2023,152,3.32587,8.79584,77.36679,24,3.32587
Site 2,153,2023-06-02,2023,153,3.31505,8.78497,77.17564,32,3.31505
Site 2,154,2023-06-03,2023,154,3.3042,8.77431,76.98844,30,3.3042
Site 2,155,2023-06-04,2023,155,3.29331,8.76386,76.80524,41,3.29331
Site 2,156,2023-06-05,2023,156,3.2824,8.75363,76.62608,31,3.2824
Site 2,157,2023-06-06,2023,157,3.27146,8.74363,76.451,22,3.27146
Site 2,158,2023-06-07,2023,158,3.2605,8.73384,76.28003,29,3.2605
Site 2,159,2023-06-08,2023,159,3.24953,8.72429,76.11322,25,3.24953
Site 2,160,2023-06-09,2023,160,3.23854,8.71496,75.95059,20,3.23854
Site 2,161,2023-06-10,2023,161,3.22753,8.70587,75.79219,30,3.22753
Site 2,162,2023-06-11,2023,162,3.21652,8.69701,75.63804,26,3.21652
Site 2,163,2023-06-12,2023,163,3.20551,8.68839,75.48819,34,3.20551
Site 2,164,2023-06-13,2023,164,3.19449,8.68001,75.34266,22,3.19449
Site 2,165,2023-06-14,2023,165,3.18348,8.67188,75.20149,21,3.18348
Site 2,166,2023-06-15,2023,166,3.17247,8.66399,75.0647,37,3.17247
Site 2,167,2023-06-16,2023,167,3.16146,8.65635,74.93232,25,3.16146
Site 2,168,2023-06-17,2023,168,3.15047,8.64895,74.80438,25,3.15047
Site 2,169,2023-06-18,2023,169,3.1395,8.64181,74.68091,35,3.1395
Site 2,170,2023-06-19,2023,170,3.12854,8.63493,74.56194,40,3.12854
Site 2,171,2023-06-20,2023,171,3.1176,8.6283,74.44748,31,3.1176
Site 2,172,2023-06-21,2023,172,3.10669,8.62192,74.33757,23,3.10669
Site 2,173,2023-06-22,2023,173,3.0958,8.61581,74.23222,24,3.0958
Site 2,174,2023-06-23,2023,174,3.08495,8.60996,74.13146,30,3.08495
Site 2,175,2023-06-24,2023,175,3.07413,8.60438,74.0353,29,3.07413
Site 2,176,2023-06-25,2023,176,3.06335,8.59906,73.94377,16,3.06335
Site 2,177,2023-06-26,2023,177,3.0526,8.594,73.85689,28,3.0526
Site 2,178,2023-06-27,2023,178,3.04191,8.58922,73.77467,20,3.04191
Site 2,179,2023-06-28,2023,179,3.03125,8.5847,73.69713,27,3.03125
Site 2,180,2023-06-29,2023,180,3.02065,8.58046,73.62428,30,3.02065
Site 2,181,2023-06-30,2023,181,3.0101,8.57649,73.55614,30,3.0101
Site 2,182,2023-07-01,2023,182,2.99961,8.57279,73.49273,22,2.99961
Site 2,183,2023-07-02,2023,183,2.98918,8.56937,73.43405,28,2.98918
Site 2,184,2023-07-03,2023,184,2.97881,8.56622,73.38012,32,2.97881
Site 2,185,2023-07-04,2023,185,2.9685,8.56335,73.33095,25,2.9685
Site 2,186,2023-07-05,2023,186,2.95827,8.56076,73.28655,16,2.95827
Site 2,187,2023-07-06,2023,187,2.9481,8.55844,73.24692,33,2.9481
Site 2,188,2023-07-07,2023,188,2.93801,8.55641,73.21208,21,2.93801
Site 2,189,2023-07-08,2023,189,2.928,8.55465,73.18204,27,2.928
Site 2,190,2023-07-09,2023,190,2.91807,8.55317,73.15679,30,2.91807
Site 2,191,2023-07-10,2023,191,2.90822,8.55198,73.13634,19,2.90822
Site 2,192,2023-07-11,2023,192,2.89846,8.55106,73.1207,26,2.89846
Site 2,193,2023-07-12,2023,193,2.88879,8.55043,73.10987,20,2.88879
Site 2,194,2023-07-13,2023,194,2.87921,8.55008,73.10385,25,2.87921
Site 2,195,2023-07-14,2023,195,2.86972,8.55001,73.10265,26,2.86972
Site 2,196,2023-07-15,2023,196,2.86033,8.55022,73.10626,23,2.86033
Site 2,197,2023-07-16,2023,197,2.85105,8.55071,73.11468,26,2.85105
Site 2,198,2023-07-17,2023,198,2.84186,8.55149,73.12792,19,2.84186
Site 2,199,2023-07-18,2023,199,2.83279,8.55254,73.14596,27,2.83279
Site 2,200,2023-07-19,2023,200,2.82382,8.55388,73.16881,31,2.82382
Site 2,201,2023-07-20,2023,201,2.81496,8.55549,73.19646,27,2.81496
Site 2,202,2023-07-21,2023,202,2.80622,8.55739,73.2289,25,2.80622
Site 2,203,2023-07-22,2023,203,2.79759,8.55956,73.26614,25,2.79759
Site 2,204,2023-07-23,2023,204,2.78908,8.56202,73.30815,23,2.78908
Site 2,205,2023-07-24,2023,205,2.7807,8.56475,73.35494,23,2.7807
Site 2,206,2023-07-25,2023,206,2.77244,8.56776,73.40649,27,2.77244
Site 2,207,2023-07-26,2023,207,2.76431,8.57104,73.4628,25,2.76431
Site 2,208,2023-07-27,2023,208,2.7563,8.5746,73.52384,26,2.7563
Site 2,209,2023-07-28,2023,209,2.74843,8.57844,73.58962,20,2.74843
Site 2,210,2023-07-29,2023,210,2.74069,8.58255,73.66011,23,2.74069
Site 2,211,2023-07-30,2023,211,2.73308,8.58693,73.73531,23,2.73308
Site 2,212,2023-07-31,2023,212,2.72562,8.59158,73.81519,26,2.72562
Site 2,213,2023-08-01,2023,213,2.71829,8.5965,73.89975,31,2.71829
Site 2,214,2023-08-02,2023,214,2.71111,8.60168,73.98896,22,2.71111
Site 2,215,2023-08-03,2023,215,2.70407,8.60714,74.0828,26,2.70407
Site 2,216,2023-08-04,2023,216,2.69718,8.61285,74.18126,30,2.69718
Site 2,217,2023-08-05,2023,217,2.69044,8.61884,74.28432,23,2.69044
Site 2,218,2023-08-06,2023,218,2.68385,8.62508,74.39196,21,2.68385
Site 2,219,2023-08-07,2023,219,2.67742,8.63158,74.50415,15,2.67742
Site 2,220,2023-08-08,2023,220,2.67113,8.63834,74.62086,22,2.67113
Site 2,221,2023-08-09,2023,221,2.66501,8.64535,74.74209,27,2.66501
Site 2,222,2023-08-10,2023,222,2.65904,8.65262,74.86779,21,2.65904
Site 2,223,2023-08-11,2023,223,2.65323,8.66014,74.99795,22,2.65323
Site 2,224,2023-08-12,2023,224,2.64759,8.6679,75.13254,18,2.64759
Site 2,225,2023-08-13,2023,225,2.64211,8.67592,75.27153,27,2.64211
Site 2,226,2023-08-14,2023,226,2.63679,8.68417,75.41488,19,2.63679
Site 2,227,2023-08-15,2023,227,2.63164,8.69267,75.56258,28,2.63164
Site 2,228,2023-08-16,2023,228,2.62666,8.70141,75.71458,28,2.62666
Site 2,229,2023-08-17,2023,229,2.62185,8.71039,75.87086,27,2.62185
Site 2,230,2023-08-18,2023,230,2.61721,8.7196,76.03138,27,2.61721
Site 2,231,2023-08-19,2023,231,2.61275,8.72904,76.1961,31,2.61275
Site 2,232,2023-08-20,2023,232,2.60845,8.73871,76.365,20,2.60845
Site 2,233,2023-08-21,2023,233,2.60434,8.7486,76.53803,25,2.60434
Site 2,234,2023-08-22,2023,234,2.6004,8.75872,76.71516,23,2.6004
Site 2,235,2023-08-23,2023,235,2.59663,8.76906,76.89634,37,2.59663
Site 2,236,2023-08-24,2023,236,2.59305,8.77961,77.08154,17,2.59305
Site 2,237,2023-08-25,2023,237,2.58964,8.79038,77.27072,21,2.58964
Site 2,238,2023-08-26,2023,238,2.58642,8.80135,77.46383,33,2.58642
Site 2,239,2023-08-27,2023,239,2.58338,8.81254,77.66083,22,2.58338
Site 2,240,2023-08-28,2023,240,2.58052,8.82393,77.86167,22,2.58052
Site 2,241,2023-08-29,2023,241,2.57784,8.83551,78.06632,33,2.57784
Site 2,242,2023-08-30,2023,242,2.57535,8.8473,78.27472,21,2.57535
Site 2,243,2023-08-31,2023,243,2.57305,8.85928,78.48682,22,2.57305
Site 2,244,2023-09-01,2023,244,2.57093,8.87145,78.70257,25,2.57093
Site 2,245,2023-09-02,2023,245,2.56899,8.8838,78.92194,24,2.56899
Site 2,246,2023-09-03,2023,246,2.56725,8.89634,79.14485,26,2.56725
Site 2,247,2023-09-04,2023,247,2.56569,8.90906,79.37127,15,2.56569
Site 2,248,2023-09-05,2023,248,2.56432,8.92195,79.60114,13,2.56432
Site 2,249,2023-09-06,2023,249,2.56313,8.93501,79.8344,19,2.56313
Site 2,250,2023-09-07,2023,250,2.56214,8.94824,80.07099,38,2.56214
Site 2,251,2023-09-08,2023,251,2.56133,8.96163,80.31087,21,2.56133
Site 2,252,2023-09-09,2023,252,2.56072,8.97519,80.55397,19,2.56072
Site 2,253,2023-09-10,2023,253,2.56029,8.9889,80.80023,20,2.56029
Site 2,254,2023-09-11,2023,254,2.56005,9.00276,81.0496,18,2.56005
Site 2,255,2023-09-12,2023,255,2.56001,9.01676,81.30201,25,2.56001
Site 2,256,2023-09-13,2023,256,2.56015,9.03091,81.55739,21,2.56015
Site 2,257,2023-09-14,2023,257,2.56048,9.0452,81.81569,22,2.56048
Site 2,258,2023-09-15,2023,258,2.561,9.05963,82.07685,13,2.561
Site 2,259,2023-09-16,2023,259,2.56171,9.07418,82.34078,18,2.56171
Site 2,260,2023-09-17,2023,260,2.56261,9.08886,82.60743,26,2.56261
Site 2,261,2023-09-18,2023,261,2.5637,9.10367,82.87674,18,2.5637
Site 2,262,2023-09-19,2023,262,2.56498,9.11859,83.14862,25,2.56498
Site 2,263,2023-09-20,2023,263,2.56644,9.13362,83.42301,29,2.56644
Site 2,264,2023-09-21,2023,264,2.5681,9.14876,83.69984,29,2.5681
Site 2,265,2023-09-22,2023,265,2.56994,9.16401,83.97904,19,2.56994
Site 2,266,2023-09-23,2023,266,2.57196,9.17935,84.26053,27,2.57196
Site 2,267,2023-09-24,2023,267,2.57418,9.19479,84.54423,21,2.57418
Site 2,268,2023-09-25,2023,268,2.57658,9.21032,84.83008,27,2.57658
Site 2,269,2023-09-26,2023,269,2.57916,9.22594,85.118,29,2.57916
Site 2,270,2023-09-27,2023,270,2.58193,9.24164,85.40791,20,2.58193
Site 2,271,2023-09-28,2023,271,2.58488,9.25741,85.69972,28,2.58488
Site 2,272,2023-09-29,2023,272,2.58801,9.27326,85.99337,20,2.58801
Site 2,273,2023-09-30,2023,273,2.59132,9.28917,86.28876,25,2.59132
Site 2,274,2023-10-01,2023,274,2.59482,9.30515,86.58583,16,2.59482
Site 2,275,2023-10-02,2023,275,2.59849,9.32118,86.88448,22,2.59849
Site 2,276,2023-10-03,2023,276,2.60234,9.33727,87.18464,28,2.60234
Site 2,277,2023-10-04,2023,277,2.60637,9.35341,87.48622,26,2.60637
Site 2,278,2023-10-05,2023,278,2.61058,9.36959,87.78913,28,2.61058
Site 2,279,2023-10-06,2023,279,2.61496,9.3858,88.09329,17,2.61496
Site 2,280,2023-10-07,2023,280,2.61951,9.40205,88.39861,29,2.61951
Site 2,281,2023-10-08,2023,281,2.62424,9.41833,88.705,21,2.62424
Site 2,282,2023-10-09,2023,282,2.62913,9.43464,89.01239,31,2.62913
Site 2,283,2023-10-10,2023,283,2.6342,9.45096,89.32067,32,2.6342
Site 2,284,2023-10-11,2023,284,2.63943,9.4673,89.62976,32,2.63943
Site 2,285,2023-10-12,2023,285,2.64483,9.48365,89.93957,25,2.64483
Site 2,286,2023-10-13,2023,286,2.65039,9.5,90.25,27,2.65039
Site 2,287,2023-10-14,2023,287,2.65612,9.51635,90.56097,21,2.65612
Site 2,288,2023-10-15,2023,288,2.662,9.5327,90.87238,18,2.662
Site 2,289,2023-10-16,2023,289,2.66805,9.54904,91.18414,35,2.66805
Site 2,290,2023-10-17,2023,290,2.67426,9.56536,91.49616,24,2.67426
Site 2,291,2023-10-18,2023,291,2.68062,9.58167,91.80833,29,2.68062
Site 2,292,2023-10-19,2023,292,2.68713,9.59795,92.12058,20,2.68713
Site 2,293,2023-10-20,2023,293,2.69379,9.6142,92.4328,29,2.69379
Site 2,294,2023-10-21,2023,294,2.70061,9.63041,92.74489,32,2.70061
Site 2,295,2023-10-22,2023,295,2.70757,9.64659,93.05676,34,2.70757
Site 2,296,2023-10-23,2023,296,2.71468,9.66273,93.36832,24,2.71468
Site 2,297,2023-10-24,2023,297,2.72194,9.67882,93.67947,23,2.72194
Site 2,298,2023-10-25,2023,298,2.72933,9.69485,93.9901,27,2.72933
Site 2,299,2023-10-26,2023,299,2.73687,9.71083,94.30013,20,2.73687
Site 2,300,2023-10-27,2023,300,2.74454,9.72674,94.60945,26,2.74454
Site 2,301,2023-10-28,2023,301,2.75235,9.74259,94.91797,24,2.75235
Site 2,302,2023-10-29,2023,302,2.76029,9.75836,95.22559,35,2.76029
Site 2,303,2023-10-30,2023,303,2.76836,9.77406,95.53222,25,2.76836
Site 2,304,2023-10-31,2023,304,2.77655,9.78968,95.83774,28,2.77655
Site 2,305,2023-11-01,2023,305,2.78488,9.80521,96.14207,21,2.78488
Site 2,306,2023-11-02,2023,306,2.79332,9.82065,96.4451,34,2.79332
Site 2,307,2023-11-03,2023,307,2.80189,9.83599,96.74674,22,2.80189
Site 2,308,2023-11-04,2023,308,2.81057,9.85124,97.0469,32,2.81057
Site 2,309,2023-11-05,2023,309,2.81937,9.86638,97.34546,23,2.81937
Site 2,310,2023-11-06,2023,310,2.82829,9.88141,97.64233,33,2.82829
Site 2,311,2023-11-07,2023,311,2.83731,9.89633,97.93743,19,2.83731
Site 2,312,2023-11-08,2023,312,2.84644,9.91114,98.23063,31,2.84644
Site 2,313,2023-11-09,2023,313,2.85568,9.92582,98.52186,30,2.85568
Site 2,314,2023-11-10,2023,314,2.86501,9.94037,98.81101,23,2.86501
